hostname,outlink,count
24716,322174,1
24716,97740,1
24716,108156,1
24716,69059,1
279913,2,6
279913,1,5
279913,18268,5
279913,1095,4
279913,27502,4
279913,18362,3
279913,18391,3
279913,18370,2
279913,19334,2
279913,5915,2
279913,7,2
279913,1112,2
279913,56758,2
279913,1040,1
279913,18364,1
279913,1150,1
279913,1751,1
279913,1752,1
279913,1110,1
279913,1109,1
279913,101,1
279913,1757,1
279913,111,1
279913,15,1
279913,5880,1
279913,1104,1
279913,1100,1
279913,21933,1
279913,19763,1
279913,28335,1
279913,1750,1
279913,1125,1
279913,129,1
279913,20357,1
279913,1106,1
227315,18370,26
227315,19919,22
227315,53339,19
227315,1,15
227315,57088,12
227315,18362,8
227315,27502,8
227315,18268,6
227315,1750,6
227315,259126,6
227315,1751,5
227315,2,4
227315,4442,4
227315,269138,4
227315,1040,3
227315,1150,3
227315,40944,3
227315,1752,3
227315,1110,3
227315,21936,3
227315,21509,3
227315,35448,3
227315,41108,3
227315,197,3
227315,1095,2
227315,18364,2
227315,1092,2
227315,73449,2
227315,4425,2
227315,62926,2
227315,101,2
227315,1757,2
227315,1094,2
227315,20982,2
227315,29485,2
227315,25750,2
227315,20153,2
227315,262197,2
227315,17969,2
227315,24503,2
227315,76726,2
227315,71695,2
227315,25499,1
227315,1149,1
227315,61164,1
227315,18391,1
227315,64866,1
227315,1096,1
227315,1117,1
227315,18710,1
227315,1707,1
227315,6,1
227315,18775,1
227315,6443,1
227315,19984,1
227315,1112,1
227315,111,1
227315,18393,1
227315,27131,1
227315,41550,1
227315,1133,1
227315,28335,1
227315,366282,1
227315,271188,1
227315,6270,1
227315,305385,1
227315,283464,1
227315,277863,1
227315,18620,1
227315,26365,1
227315,39224,1
227315,23014,1
227315,67560,1
227315,18689,1
227315,72738,1
227315,19831,1
227315,1097,1
227315,65890,1
227315,21316,1
227315,18395,1
227315,69881,1
227315,366263,1
227315,279478,1
227315,53090,1
227315,32734,1
227315,86636,1
227315,65838,1
227315,109794,1
227315,107733,1
227315,102745,1
227315,77224,1
227315,1711,1
227315,121815,1
227315,30513,1
227315,27526,1
227315,57864,1
227315,40446,1
227315,41626,1
227315,90292,1
227315,299558,1
227315,62220,1
227315,66464,1
227315,95121,1
22268,116527,1
288104,18706,34
288104,18362,6
288104,112845,2
288104,1040,1
288104,56758,1
19156,18362,1
32830,27502,2
32830,2,1
32830,221763,1
32830,225,1
32830,21933,1
32830,56758,1
32830,25363,1
32830,279224,1
145686,2,4
145686,18268,4
145686,25728,4
145686,1,3
145686,1095,3
145686,18362,2
145686,27502,2
145686,1752,2
145686,64866,2
145686,8,2
145686,28,2
145686,41150,2
145686,18346,1
145686,1040,1
145686,18370,1
145686,1751,1
145686,40944,1
145686,18391,1
145686,6218,1
145686,104828,1
145686,1110,1
145686,5915,1
145686,1109,1
145686,101,1
145686,21936,1
145686,1747,1
145686,1101,1
145686,1755,1
145686,5880,1
145686,1100,1
145686,21542,1
145686,18529,1
145686,105094,1
145686,41,1
145686,20487,1
145686,68816,1
145686,55476,1
145686,386576,1
145686,41189,1
145686,70236,1
145686,108581,1
145686,294144,1
145686,66030,1
145686,40191,1
68099,20120,12
68099,18346,11
68099,18391,11
68099,2,8
68099,18268,5
68099,1,4
68099,39000,3
68099,6218,3
68099,366646,3
68099,40944,2
68099,61164,2
68099,64866,2
68099,100488,2
68099,75,2
68099,69682,2
68099,1095,1
68099,25499,1
68099,1149,1
68099,1752,1
68099,269331,1
68099,18710,1
68099,1755,1
68099,41150,1
68099,25349,1
68099,18,1
68099,4481,1
68099,25056,1
68099,179583,1
68099,65,1
68099,277874,1
68099,1063,1
19374,82573,309
19374,40401,15
19374,18364,13
19374,2,9
19374,24896,9
19374,1,6
19374,18346,6
19374,18362,6
19374,19334,6
19374,24834,6
19374,1095,5
19374,225,5
19374,269331,4
19374,5915,4
19374,41550,4
19374,18268,3
19374,18370,2
19374,1707,2
19374,6,2
19374,4425,2
19374,1757,2
19374,19763,2
19374,41150,2
19374,41108,2
19374,39349,2
19374,222,2
19374,27502,1
19374,39000,1
19374,1149,1
19374,1150,1
19374,1751,1
19374,40944,1
19374,1092,1
19374,1110,1
19374,6443,1
19374,4442,1
19374,1109,1
19374,8,1
19374,21936,1
19374,1101,1
19374,57088,1
19374,1100,1
19374,20982,1
19374,367244,1
19374,1133,1
19374,25750,1
19374,18404,1
19374,25209,1
19374,18554,1
19374,283464,1
19374,6363,1
19374,65890,1
19374,71864,1
19374,22615,1
19374,20036,1
19374,279478,1
19374,61823,1
19374,26460,1
19374,26186,1
19374,25952,1
19374,288181,1
19374,270688,1
19374,4470,1
19374,361729,1
19374,367360,1
19374,26529,1
19374,69818,1
19374,75733,1
19374,30613,1
19374,19066,1
19374,297811,1
19374,59875,1
19374,29719,1
25060,4428,2
25060,18362,1
25060,8,1
25060,20624,1
19376,2,4
19376,18268,3
19376,1095,3
19376,1040,2
19376,27502,2
19376,1707,2
19376,129,2
19376,1,1
19376,18362,1
19376,1117,1
19376,1110,1
19376,1112,1
19376,25649,1
19376,128,1
19376,4452,1
19376,68578,1
19376,98755,1
19376,24621,1
19376,19374,1
19376,5990,1
19376,59875,1
25064,1,3
25064,278239,2
25064,2,1
25064,18268,1
25064,73449,1
297413,18391,137
297413,2,94
297413,798,54
297413,1,19
297413,18362,19
297413,18268,16
297413,1095,16
297413,18346,12
297413,25499,11
297413,209366,10
297413,1752,7
297413,104828,6
297413,269331,6
297413,1040,5
297413,39000,5
297413,6218,5
297413,1110,5
297413,1751,4
297413,15,4
297413,18364,3
297413,40944,3
297413,4425,3
297413,62926,3
297413,111,3
297413,56510,3
297413,271188,3
297413,27502,2
297413,1149,2
297413,1150,2
297413,1092,2
297413,18710,2
297413,1707,2
297413,6443,2
297413,1104,2
297413,269352,2
297413,18600,2
297413,278696,2
297413,115865,2
297413,64866,1
297413,1096,1
297413,1117,1
297413,73449,1
297413,4442,1
297413,113,1
297413,1109,1
297413,101,1
297413,1755,1
297413,1100,1
297413,20982,1
297413,18704,1
297413,25444,1
297413,18658,1
297413,21038,1
297413,287910,1
297413,26164,1
297413,41108,1
297413,67264,1
297413,4481,1
297413,38,1
297413,69451,1
297413,18438,1
297413,13,1
297413,367328,1
297413,366226,1
297413,277935,1
297413,1198,1
297413,25379,1
297413,23043,1
297413,27013,1
297413,94845,1
297413,211692,1
277915,18529,4
277915,2,2
277915,27107,2
277915,22916,2
277915,25798,2
277915,1095,1
277915,1150,1
277915,1747,1
277915,367524,1
277915,29,1
277915,788,1
277915,20821,1
277915,99988,1
120430,1,1
120430,18362,1
120430,7,1
120430,64051,1
120430,240615,1
58393,1095,6
58393,18346,4
58393,2,2
58393,18268,2
58393,27502,2
58393,67264,2
58393,64449,2
58393,18364,1
58393,1751,1
58393,40944,1
58393,6218,1
58393,269331,1
58393,6,1
58393,18775,1
58393,62926,1
58393,1750,1
58393,109076,1
58393,20153,1
58393,67324,1
58393,40401,1
58393,5810,1
58393,39590,1
58393,6489,1
58393,41626,1
19379,21933,9
19379,101273,2
19379,67178,1
96551,73449,5
96551,21038,2
96551,1,1
96551,18364,1
96551,1110,1
96551,221763,1
96551,20982,1
96551,21933,1
96551,67831,1
96551,23785,1
96551,269457,1
96551,178081,1
96551,89724,1
96551,20579,1
22009,1,2
22009,18346,1
22009,39000,1
22009,73449,1
22009,7,1
22009,18496,1
92894,1095,2
92894,18362,2
92894,2,1
92894,18346,1
92894,18268,1
92894,18364,1
92894,19984,1
6154,5880,186
6154,1,179
6154,2,161
6154,1095,157
6154,18268,102
6154,18364,65
6154,1751,52
6154,25499,43
6154,6218,43
6154,18362,42
6154,27502,39
6154,113,36
6154,39000,33
6154,1707,33
6154,1109,28
6154,1149,24
6154,1112,19
6154,18346,18
6154,61164,18
6154,269331,18
6154,7,18
6154,111,17
6154,18391,16
6154,64866,16
6154,8,16
6154,1101,16
6154,5766,16
6154,1096,15
6154,1150,14
6154,19334,14
6154,40944,14
6154,1752,14
6154,67574,14
6154,18710,13
6154,22389,13
6154,1040,12
6154,1757,12
6154,6,11
6154,209366,11
6154,1147,11
6154,18496,11
6154,104828,10
6154,4442,10
6154,105714,10
6154,4425,9
6154,19984,9
6154,1755,9
6154,18370,8
6154,20982,8
6154,5521,8
6154,19076,8
6154,264189,8
6154,73449,7
6154,5915,7
6154,21936,7
6154,4419,7
6154,15,7
6154,1094,7
6154,29485,7
6154,1092,6
6154,1110,6
6154,62926,6
6154,1100,6
6154,84582,6
6154,5527,6
6154,277881,6
6154,1117,5
6154,5816,5
6154,20548,5
6154,21089,5
6154,4452,5
6154,72605,5
6154,6443,4
6154,1747,4
6154,72,4
6154,1127,4
6154,1750,4
6154,56051,4
6154,25349,4
6154,20487,4
6154,68395,4
6154,5856,4
6154,101,3
6154,56510,3
6154,18704,3
6154,21542,3
6154,366113,3
6154,22088,3
6154,271188,3
6154,109076,3
6154,20120,3
6154,41,3
6154,18404,3
6154,18350,3
6154,366422,3
6154,67324,3
6154,24757,3
6154,69451,3
6154,367446,3
6154,367598,3
6154,367762,3
6154,5810,3
6154,133,3
6154,296696,3
6154,21537,3
6154,7212,3
6154,20827,3
6154,87917,3
6154,20448,2
6154,25649,2
6154,269138,2
6154,18393,2
6154,225,2
6154,367244,2
6154,9,2
6154,41550,2
6154,22,2
6154,25369,2
6154,21038,2
6154,25750,2
6154,18515,2
6154,366124,2
6154,287910,2
6154,20357,2
6154,67264,2
6154,18554,2
6154,34663,2
6154,60,2
6154,24716,2
6154,35239,2
6154,26924,2
6154,39,2
6154,71985,2
6154,277863,2
6154,84784,2
6154,112845,2
6154,366828,2
6154,24641,2
6154,367398,2
6154,18687,2
6154,6274,2
6154,58,2
6154,19673,2
6154,4469,2
6154,104698,2
6154,113988,2
6154,1342,2
6154,75,2
6154,22006,2
6154,63052,2
6154,366781,2
6154,83182,2
6154,111993,2
6154,41189,2
6154,270688,2
6154,367704,2
6154,19819,2
6154,60568,2
6154,278519,2
6154,25894,2
6154,93304,2
6154,89272,2
6154,18775,1
6154,57088,1
6154,186480,1
6154,36,1
6154,1104,1
6154,798,1
6154,4428,1
6154,19763,1
6154,18658,1
6154,22299,1
6154,18374,1
6154,67831,1
6154,366277,1
6154,41150,1
6154,12,1
6154,1641,1
6154,24707,1
6154,20153,1
6154,30347,1
6154,17969,1
6154,26164,1
6154,366494,1
6154,366268,1
6154,24853,1
6154,3,1
6154,57766,1
6154,24503,1
6154,24811,1
6154,367246,1
6154,21,1
6154,104129,1
6154,20397,1
6154,25128,1
6154,366487,1
6154,367524,1
6154,33623,1
6154,269352,1
6154,19194,1
6154,4434,1
6154,294,1
6154,34082,1
6154,285605,1
6154,34,1
6154,69757,1
6154,83280,1
6154,265423,1
6154,1756,1
6154,38,1
6154,367221,1
6154,98755,1
6154,18957,1
6154,366180,1
6154,20378,1
6154,106145,1
6154,56708,1
6154,53136,1
6154,367169,1
6154,22138,1
6154,955,1
6154,105231,1
6154,106613,1
6154,25056,1
6154,68816,1
6154,25057,1
6154,22018,1
6154,367328,1
6154,38821,1
6154,752,1
6154,101454,1
6154,64110,1
6154,27552,1
6154,23156,1
6154,108,1
6154,19320,1
6154,89299,1
6154,85044,1
6154,24649,1
6154,73407,1
6154,24911,1
6154,19822,1
6154,24937,1
6154,278335,1
6154,41345,1
6154,366364,1
6154,60669,1
6154,278227,1
6154,18395,1
6154,18535,1
6154,24534,1
6154,367657,1
6154,277930,1
6154,87870,1
6154,74248,1
6154,366697,1
6154,42689,1
6154,84948,1
6154,27036,1
6154,86881,1
6154,19524,1
6154,300411,1
6154,6149,1
6154,24599,1
6154,116527,1
6154,19647,1
6154,270983,1
6154,63599,1
6154,20875,1
6154,21643,1
6154,277901,1
6154,54330,1
6154,88260,1
6154,68,1
6154,22716,1
6154,24578,1
6154,22728,1
6154,271328,1
6154,25601,1
6154,27200,1
6154,112896,1
6154,83195,1
6154,68737,1
6154,106699,1
6154,279026,1
6154,70102,1
6154,301600,1
6154,25794,1
6154,986,1
6154,366874,1
6154,265243,1
6154,83282,1
6154,86993,1
6154,19428,1
6154,124751,1
6154,366280,1
6154,29101,1
6154,80596,1
6154,26874,1
6154,18706,1
6154,77657,1
6154,235597,1
6154,19536,1
6154,280241,1
6154,228677,1
6154,25571,1
6154,277995,1
6154,69,1
6154,121898,1
6154,35335,1
6154,25083,1
6154,4470,1
6154,1509,1
6154,20675,1
6154,26010,1
6154,71,1
6154,70569,1
6154,100684,1
6154,107982,1
6154,285591,1
6154,23363,1
6154,25822,1
6154,113381,1
6154,129561,1
6154,269162,1
6154,21590,1
6154,118904,1
6154,186067,1
6154,287999,1
6154,81618,1
6154,153674,1
6154,68639,1
6154,277920,1
6154,68099,1
6154,25696,1
6154,69458,1
6154,287841,1
6154,24918,1
6154,296142,1
6154,23758,1
6154,301586,1
6154,113497,1
6154,302065,1
35435,18370,2
22006,18268,1
22006,18362,1
22006,1092,1
22006,76561,1
22006,19763,1
22006,366282,1
22006,24667,1
72126,18370,8
72126,14,3
72126,1,2
72126,27502,1
72126,25499,1
72126,4442,1
72126,19082,1
72126,24674,1
72126,25033,1
72126,28464,1
72126,20546,1
72126,128860,1
114170,2,2
114170,1095,1
114170,18362,1
114170,1752,1
114170,64866,1
114170,798,1
114170,366984,1
114170,99,1
114170,29272,1
186480,18710,3659
186480,18346,223
186480,2,180
186480,1,159
186480,1095,153
186480,18268,105
186480,1040,75
186480,18362,57
186480,73449,52
186480,269331,49
186480,1150,46
186480,40944,45
186480,25499,42
186480,4442,38
186480,27502,37
186480,18364,35
186480,39000,34
186480,18391,29
186480,67574,28
186480,6,27
186480,1092,26
186480,6218,26
186480,5915,26
186480,1149,23
186480,1752,23
186480,1707,17
186480,1751,16
186480,21936,16
186480,61164,15
186480,104828,15
186480,62926,14
186480,34663,14
186480,1755,13
186480,262197,13
186480,105714,13
186480,4425,12
186480,7,12
186480,1109,12
186480,1096,11
186480,113,11
186480,19334,10
186480,64866,10
186480,15,10
186480,367244,10
186480,1110,9
186480,1112,9
186480,1101,9
186480,18496,9
186480,8,8
186480,209366,8
186480,5766,8
186480,57088,7
186480,56510,7
186480,5521,7
186480,18350,7
186480,1117,6
186480,1147,6
186480,20548,6
186480,25691,6
186480,18370,5
186480,1747,5
186480,269138,5
186480,67338,5
186480,271188,5
186480,20120,5
186480,27107,5
186480,277881,5
186480,6443,4
186480,1757,4
186480,18560,4
186480,4419,4
186480,20982,4
186480,798,4
186480,12,4
186480,109076,4
186480,56051,4
186480,366494,4
186480,367459,4
186480,25798,4
186480,351789,4
186480,69774,4
186480,86481,4
186480,19984,3
186480,101,3
186480,18393,3
186480,18704,3
186480,4428,3
186480,27131,3
186480,25750,3
186480,21089,3
186480,25209,3
186480,67264,3
186480,57766,3
186480,60,3
186480,366692,3
186480,61829,3
186480,366984,3
186480,23156,3
186480,306060,3
186480,63052,3
186480,147978,3
186480,6932,3
186480,18775,2
186480,111,2
186480,1094,2
186480,1100,2
186480,9,2
186480,22299,2
186480,19076,2
186480,1641,2
186480,19854,2
186480,18529,2
186480,305385,2
186480,84582,2
186480,20153,2
186480,30347,2
186480,19970,2
186480,305386,2
186480,18,2
186480,27011,2
186480,20487,2
186480,279023,2
186480,366646,2
186480,366233,2
186480,25128,2
186480,23785,2
186480,40401,2
186480,21421,2
186480,112845,2
186480,68395,2
186480,265423,2
186480,17970,2
186480,367169,2
186480,64,2
186480,5813,2
186480,45,2
186480,20696,2
186480,25826,2
186480,86877,2
186480,82159,2
186480,1199,2
186480,27692,2
186480,25200,2
186480,83195,2
186480,278696,2
186480,29508,2
186480,128691,2
186480,71248,2
186480,19722,2
186480,54436,2
186480,221763,1
186480,5816,1
186480,76561,1
186480,5880,1
186480,1104,1
186480,225,1
186480,117,1
186480,29485,1
186480,1127,1
186480,21933,1
186480,22,1
186480,67831,1
186480,1750,1
186480,41150,1
186480,21038,1
186480,366282,1
186480,22088,1
186480,56758,1
186480,105094,1
186480,17969,1
186480,5527,1
186480,26164,1
186480,4452,1
186480,18404,1
186480,41108,1
186480,110334,1
186480,24669,1
186480,3,1
186480,72605,1
186480,24811,1
186480,54346,1
186480,22916,1
186480,6154,1
186480,14,1
186480,19082,1
186480,21,1
186480,104129,1
186480,26590,1
186480,20397,1
186480,1106,1
186480,367524,1
186480,269352,1
186480,29,1
186480,19194,1
186480,39349,1
186480,4434,1
186480,67324,1
186480,72473,1
186480,307,1
186480,24757,1
186480,30082,1
186480,18600,1
186480,19115,1
186480,367449,1
186480,367891,1
186480,34,1
186480,78,1
186480,18957,1
186480,69451,1
186480,366180,1
186480,20639,1
186480,367398,1
186480,20378,1
186480,106145,1
186480,269606,1
186480,35,1
186480,28771,1
186480,94,1
186480,18687,1
186480,6274,1
186480,19673,1
186480,25320,1
186480,68816,1
186480,106251,1
186480,25771,1
186480,24501,1
186480,65890,1
186480,367328,1
186480,270003,1
186480,67401,1
186480,28136,1
186480,18920,1
186480,19477,1
186480,1349,1
186480,97,1
186480,25855,1
186480,268225,1
186480,19822,1
186480,61,1
186480,26896,1
186480,366364,1
186480,26214,1
186480,179583,1
186480,35543,1
186480,23668,1
186480,22726,1
186480,853,1
186480,27427,1
186480,69028,1
186480,46603,1
186480,82687,1
186480,93989,1
186480,1344,1
186480,304668,1
186480,24621,1
186480,30255,1
186480,20648,1
186480,21619,1
186480,77574,1
186480,74332,1
